date,permian_rigs
2019-01-04,485
2019-01-11,485
2019-01-18,485
2019-01-25,485
2019-02-01,475
2019-02-08,475
2019-02-15,475
2019-02-22,475
2019-03-01,461
2019-03-08,461
2019-03-15,461
2019-03-22,461
2019-03-29,461
2019-04-05,462
2019-04-12,462
2019-04-19,462
2019-04-26,462
2019-05-03,455
2019-05-10,455
2019-05-17,455
2019-05-24,455
2019-05-31,455
2019-06-07,442
2019-06-14,442
2019-06-21,442
2019-06-28,442
2019-07-05,441
2019-07-12,441
2019-07-19,441
2019-07-26,441
2019-08-02,438
2019-08-09,438
2019-08-16,438
2019-08-23,438
2019-08-30,438
2019-09-06,419
2019-09-13,419
2019-09-20,419
2019-09-27,419
2019-10-04,418
2019-10-11,418
2019-10-18,418
2019-10-25,418
2019-11-01,408
2019-11-08,408
2019-11-15,408
2019-11-22,408
2019-11-29,408
2019-12-06,402
2019-12-13,402
2019-12-20,402
2019-12-27,402
2020-01-03,402
2020-01-10,402
2020-01-17,402
2020-01-24,402
2020-01-31,402
2020-02-07,407
2020-02-14,407
2020-02-21,407
2020-02-28,407
2020-03-06,405
2020-03-13,405
2020-03-20,405
2020-03-27,405
2020-04-03,299
2020-04-10,299
2020-04-17,299
2020-04-24,299
2020-05-01,180
2020-05-08,180
2020-05-15,180
2020-05-22,180
2020-05-29,180
2020-06-05,135
2020-06-12,135
2020-06-19,135
2020-06-26,135
2020-07-03,125
2020-07-10,125
2020-07-17,125
2020-07-24,125
2020-07-31,125
2020-08-07,123
2020-08-14,123
2020-08-21,123
2020-08-28,123
2020-09-04,124
2020-09-11,124
2020-09-18,124
2020-09-25,124
2020-10-02,133
2020-10-09,133
2020-10-16,133
2020-10-23,133
2020-10-30,133
2020-11-06,155
2020-11-13,155
2020-11-20,155
2020-11-27,155
2020-12-04,170
2020-12-11,170
2020-12-18,170
2020-12-25,170
2021-01-01,185
2021-01-08,185
2021-01-15,185
2021-01-22,185
2021-01-29,185
2021-02-05,203
2021-02-12,203
2021-02-19,203
2021-02-26,203
2021-03-05,215
2021-03-12,215
2021-03-19,215
2021-03-26,215
2021-04-02,225
2021-04-09,225
2021-04-16,225
2021-04-23,225
2021-04-30,225
2021-05-07,231
2021-05-14,231
2021-05-21,231
2021-05-28,231
2021-06-04,235
2021-06-11,235
2021-06-18,235
2021-06-25,235
2021-07-02,239
2021-07-09,239
2021-07-16,239
2021-07-23,239
2021-07-30,239
2021-08-06,246
2021-08-13,246
2021-08-20,246
2021-08-27,246
2021-09-03,256
2021-09-10,256
2021-09-17,256
2021-09-24,256
2021-10-01,266
2021-10-08,266
2021-10-15,266
2021-10-22,266
2021-10-29,266
2021-11-05,273
2021-11-12,273
2021-11-19,273
2021-11-26,273
2021-12-03,287
2021-12-10,287
2021-12-17,287
2021-12-24,287
2021-12-31,287
2022-01-07,292
2022-01-14,292
2022-01-21,292
2022-01-28,292
2022-02-04,302
2022-02-11,302
2022-02-18,302
2022-02-25,302
2022-03-04,313
2022-03-11,313
2022-03-18,313
2022-03-25,313
2022-04-01,330
2022-04-08,330
2022-04-15,330
2022-04-22,330
2022-04-29,330
2022-05-06,337
2022-05-13,337
2022-05-20,337
2022-05-27,337
2022-06-03,344
2022-06-10,344
2022-06-17,344
2022-06-24,344
2022-07-01,349
2022-07-08,349
2022-07-15,349
2022-07-22,349
2022-07-29,349
2022-08-05,346
2022-08-12,346
2022-08-19,346
2022-08-26,346
2022-09-02,343
2022-09-09,343
2022-09-16,343
2022-09-23,343
2022-09-30,343
2022-10-07,346
2022-10-14,346
2022-10-21,346
2022-10-28,346
2022-11-04,349
2022-11-11,349
2022-11-18,349
2022-11-25,349
2022-12-02,350
2022-12-09,350
2022-12-16,350
2022-12-23,350
2022-12-30,350
2023-01-06,355
2023-01-13,355
2023-01-20,355
2023-01-27,355
2023-02-03,353
2023-02-10,353
2023-02-17,353
2023-02-24,353
2023-03-03,349
2023-03-10,349
2023-03-17,349
2023-03-24,349
2023-03-31,349
2023-04-07,356
2023-04-14,356
2023-04-21,356
2023-04-28,356
2023-05-05,349
2023-05-12,349
2023-05-19,349
2023-05-26,349
2023-06-02,342
2023-06-09,342
2023-06-16,342
2023-06-23,342
2023-06-30,342
2023-07-07,335
2023-07-14,335
2023-07-21,335
2023-07-28,335
2023-08-04,324
2023-08-11,324
2023-08-18,324
2023-08-25,324
2023-09-01,318
2023-09-08,318
2023-09-15,318
2023-09-22,318
2023-09-29,318
2023-10-06,311
2023-10-13,311
2023-10-20,311
2023-10-27,311
2023-11-03,311
2023-11-10,311
2023-11-17,311
2023-11-24,311
2023-12-01,311
2023-12-08,311
2023-12-15,311
2023-12-22,311
2023-12-29,311
2024-01-05,309
2024-01-12,309
2024-01-19,309
2024-01-26,309
2024-02-02,313
2024-02-09,313
2024-02-16,313
2024-02-23,313
2024-03-01,315
2024-03-08,315
2024-03-15,315
2024-03-22,315
2024-03-29,315
2024-04-05,317
2024-04-12,317
2024-04-19,317
2024-04-26,317
2024-05-03,317
2024-05-10,317
2024-05-17,317
2024-05-24,317
2024-05-31,317
2024-06-07,317
2024-06-14,317
2024-06-21,317
2024-06-28,317
2024-07-05,317
2024-07-12,317
2024-07-19,317
2024-07-26,317
2024-08-02,317
2024-08-09,317
2024-08-16,317
2024-08-23,317
2024-08-30,317
2024-09-06,317
2024-09-13,317
2024-09-20,317
2024-09-27,317
2024-10-04,317
2024-10-11,317
2024-10-18,317
2024-10-25,317
2024-11-01,317
2024-11-08,317
2024-11-15,317
2024-11-22,317
2024-11-29,317
2024-12-06,317
2024-12-13,317
2024-12-20,317
2024-12-27,317
2025-01-03,317
2025-01-10,317
2025-01-17,317
2025-01-24,317
2025-01-31,317
2025-02-07,317
2025-02-14,317
2025-02-21,317
2025-02-28,317
2025-03-07,317
2025-03-14,317
2025-03-21,317
2025-03-28,317
2025-04-04,317
2025-04-11,317
2025-04-18,317
2025-04-25,317
2025-05-02,317
2025-05-09,317
2025-05-16,317
2025-05-23,317
2025-05-30,317
2025-06-06,317
2025-06-13,317
2025-06-20,317
2025-06-27,317
2025-07-04,317
2025-07-11,317
2025-07-18,317
2025-07-25,317
2025-08-01,317
2025-08-08,317
2025-08-15,317
2025-08-22,317
2025-08-29,317
2025-09-05,317
2025-09-12,317
2025-09-19,317
2025-09-26,317
2025-10-03,317
2025-10-10,317
2025-10-17,317
2025-10-24,317
2025-10-31,317
2025-11-07,317
2025-11-14,317
2025-11-21,317
2025-11-28,317
2025-12-05,317
2025-12-12,317
2025-12-19,317
2025-12-26,317
2026-01-02,317
2026-01-09,317
2026-01-16,317
2026-01-23,317
2026-01-30,317
2026-02-06,317
2026-02-13,317
2026-02-20,317
2026-02-27,317
2026-03-06,317
2026-03-13,317
2026-03-20,317
2026-03-27,317
2026-04-03,317
2026-04-10,317
2026-04-17,317
2026-04-24,317
