date,permian_rigs
2019-01-04,293
2019-01-11,298
2019-01-18,305
2019-01-25,312
2019-02-01,320
2019-02-08,329
2019-02-15,338
2019-02-22,348
2019-03-01,357
2019-03-08,367
2019-03-15,376
2019-03-22,386
2019-03-29,395
2019-04-05,403
2019-04-12,411
2019-04-19,418
2019-04-26,424
2019-05-03,429
2019-05-10,434
2019-05-17,437
2019-05-24,439
2019-05-31,440
2019-06-07,440
2019-06-14,438
2019-06-21,436
2019-06-28,432
2019-07-05,428
2019-07-12,422
2019-07-19,416
2019-07-26,408
2019-08-02,400
2019-08-09,392
2019-08-16,383
2019-08-23,373
2019-08-30,364
2019-09-06,354
2019-09-13,344
2019-09-20,335
2019-09-27,326
2019-10-04,318
2019-10-11,310
2019-10-18,303
2019-10-25,296
2019-11-01,291
2019-11-08,287
2019-11-15,283
2019-11-22,281
2019-11-29,280
2019-12-06,280
2019-12-13,281
2019-12-20,284
2019-12-27,287
2020-01-03,292
2020-01-10,297
2020-01-17,304
2020-01-24,267
2020-01-31,264
2020-02-07,261
2020-02-14,257
2020-02-21,252
2020-02-28,246
2020-03-06,240
2020-03-13,234
2020-03-20,229
2020-03-27,225
2020-04-03,222
2020-04-10,220
2020-04-17,221
2020-04-24,224
2020-05-01,229
2020-05-08,236
2020-05-15,246
2020-05-22,257
2020-05-29,269
2020-06-05,283
2020-06-12,296
2020-06-19,309
2020-06-26,321
2020-07-03,332
2020-07-10,341
2020-07-17,348
2020-07-24,353
2020-07-31,356
2020-08-07,356
2020-08-14,355
2020-08-21,352
2020-08-28,365
2020-09-04,355
2020-09-11,346
2020-09-18,336
2020-09-25,327
2020-10-02,319
2020-10-09,311
2020-10-16,304
2020-10-23,297
2020-10-30,292
2020-11-06,287
2020-11-13,284
2020-11-20,281
2020-11-27,280
2020-12-04,280
2020-12-11,281
2020-12-18,283
2020-12-25,287
2021-01-01,291
2021-01-08,297
2021-01-15,303
2021-01-22,310
2021-01-29,318
2021-02-05,327
2021-02-12,335
2021-02-19,345
2021-02-26,354
2021-03-05,364
2021-03-12,374
2021-03-19,383
2021-03-26,392
2021-04-02,401
2021-04-09,409
2021-04-16,416
2021-04-23,422
2021-04-30,428
2021-05-07,433
2021-05-14,436
2021-05-21,438
2021-05-28,440
2021-06-04,440
2021-06-11,439
2021-06-18,437
2021-06-25,433
2021-07-02,429
2021-07-09,424
2021-07-16,418
2021-07-23,410
2021-07-30,403
2021-08-06,394
2021-08-13,385
2021-08-20,376
2021-08-27,366
2021-09-03,357
2021-09-10,347
2021-09-17,338
2021-09-24,329
2021-10-01,320
2021-10-08,312
2021-10-15,305
2021-10-22,298
2021-10-29,292
2021-11-05,288
2021-11-12,284
2021-11-19,282
2021-11-26,280
2021-12-03,280
2021-12-10,281
2021-12-17,283
2021-12-24,286
2021-12-31,291
2022-01-07,296
2022-01-14,302
2022-01-21,309
2022-01-28,317
2022-02-04,325
2022-02-11,334
2022-02-18,343
2022-02-25,353
2022-03-04,363
2022-03-11,372
2022-03-18,382
2022-03-25,391
2022-04-01,399
2022-04-08,407
2022-04-15,415
2022-04-22,421
2022-04-29,427
2022-05-06,432
2022-05-13,436
2022-05-20,438
2022-05-27,440
2022-06-03,440
2022-06-10,439
2022-06-17,437
2022-06-24,434
2022-07-01,430
2022-07-08,425
2022-07-15,418
2022-07-22,411
2022-07-29,404
2022-08-05,395
2022-08-12,386
2022-08-19,377
2022-08-26,368
2022-09-02,358
2022-09-09,348
2022-09-16,339
2022-09-23,330
2022-09-30,321
2022-10-07,313
2022-10-14,306
2022-10-21,299
2022-10-28,293
2022-11-04,288
2022-11-11,285
2022-11-18,282
2022-11-25,280
2022-12-02,280
2022-12-09,281
2022-12-16,283
2022-12-23,286
2022-12-30,290
2023-01-06,295
2023-01-13,301
2023-01-20,308
2023-01-27,316
2023-02-03,324
2023-02-10,333
2023-02-17,342
2023-02-24,352
2023-03-03,361
2023-03-10,371
2023-03-17,380
2023-03-24,389
2023-03-31,398
2023-04-07,406
2023-04-14,414
2023-04-21,421
2023-04-28,426
2023-05-05,431
2023-05-12,435
2023-05-19,438
2023-05-26,440
2023-06-02,440
2023-06-09,439
2023-06-16,437
