ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
CRGY,2022-03-31,2022-05-10,2022-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-06-30,2022-08-09,2022-07-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-09-30,2022-11-09,2022-10-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-12-31,2023-03-07,2023-02-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-03-31,2023-05-10,2023-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-06-30,2023-08-09,2023-07-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-12-31,2024-03-04,2024-02-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-03-31,2024-05-06,2024-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-06-30,2024-08-05,2024-07-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-09-30,2024-11-04,2024-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-12-31,2025-02-26,2025-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-03-31,2025-05-05,2025-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-06-30,2025-08-04,2025-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2021-09-30,2021-11-03,2021-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2021-12-31,2022-02-23,2022-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-03-31,2022-05-02,2022-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-06-30,2022-08-02,2022-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-09-30,2022-11-03,2022-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-12-31,2023-02-22,2023-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-03-31,2023-05-04,2023-04-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-06-30,2023-08-07,2023-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-12-31,2024-02-22,2024-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-03-31,2024-05-02,2024-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-06-30,2024-08-01,2024-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
