ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2021-03-31,False,ok
EOG,2021-03-31,False,short_circuit_in_line
DVN,2021-03-31,False,ok
OXY,2021-03-31,False,short_circuit_in_line
MTDR,2021-03-31,False,short_circuit_in_line
OVV,2021-03-31,False,short_circuit_in_line
SM,2021-03-31,False,short_circuit_in_line
FANG,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2021-06-30,False,short_circuit_in_line
MTDR,2021-06-30,True,Expecting value: line 2 column 19 (char 20)
OVV,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2021-06-30,False,ok
FANG,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-09-30,False,ok
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
CTRA,2021-09-30,False,short_circuit_in_line
OXY,2021-09-30,False,ok
MTDR,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2021-09-30,False,ok
SM,2021-09-30,False,short_circuit_modest_miss
FANG,2021-12-31,False,ok
EOG,2021-12-31,False,short_circuit_in_line
DVN,2021-12-31,False,ok
CTRA,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OXY,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OVV,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
SM,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
FANG,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
EOG,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
DVN,2022-03-31,False,short_circuit_in_line
CTRA,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OXY,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OVV,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
SM,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CRGY,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
FANG,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
EOG,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
DVN,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CTRA,2022-06-30,False,short_circuit_in_line
OXY,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OVV,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
SM,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CRGY,2022-06-30,False,short_circuit_in_line
FANG,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
EOG,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
DVN,2022-09-30,False,short_circuit_in_line
CTRA,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OXY,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
PR,2022-09-30,False,short_circuit_in_line
OVV,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
SM,2022-09-30,False,short_circuit_in_line
CRGY,2022-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
FANG,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
EOG,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
DVN,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CTRA,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OXY,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
PR,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
OVV,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
SM,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CRGY,2022-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
FANG,2023-03-31,False,short_circuit_in_line
EOG,2023-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
DVN,2023-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
CTRA,2023-03-31,False,short_circuit_in_line
OXY,2023-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Tokens per day 
MTDR,2023-03-31,False,short_circuit_modest_miss
PR,2023-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
