ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2021-03-31,False,short_circuit_in_line
EOG,2021-03-31,False,short_circuit_in_line
DVN,2021-03-31,False,short_circuit_in_line
OXY,2021-03-31,False,short_circuit_in_line
MTDR,2021-03-31,False,short_circuit_in_line
OVV,2021-03-31,False,short_circuit_in_line
SM,2021-03-31,False,short_circuit_in_line
FANG,2021-06-30,False,short_circuit_in_line
EOG,2021-06-30,False,short_circuit_in_line
DVN,2021-06-30,False,short_circuit_in_line
OXY,2021-06-30,False,short_circuit_in_line
MTDR,2021-06-30,False,short_circuit_in_line
OVV,2021-06-30,False,short_circuit_in_line
SM,2021-06-30,False,short_circuit_in_line
FANG,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-09-30,False,short_circuit_in_line
DVN,2021-09-30,False,short_circuit_in_line
CTRA,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2021-09-30,False,short_circuit_in_line
CTRA,2021-09-30,False,short_circuit_in_line
OXY,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-09-30,False,short_circuit_in_line
OVV,2021-09-30,False,short_circuit_in_line
SM,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2021-12-31,False,short_circuit_in_line
EOG,2021-12-31,False,short_circuit_in_line
DVN,2021-12-31,False,short_circuit_in_line
CTRA,2021-12-31,False,short_circuit_in_line
OXY,2021-12-31,False,short_circuit_in_line
MTDR,2021-12-31,False,short_circuit_in_line
OVV,2021-12-31,False,short_circuit_in_line
SM,2021-12-31,False,short_circuit_in_line
FANG,2022-03-31,False,short_circuit_in_line
EOG,2022-03-31,False,short_circuit_in_line
DVN,2022-03-31,False,short_circuit_in_line
CTRA,2022-03-31,False,short_circuit_in_line
OXY,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Requests per mi
MTDR,2022-03-31,False,short_circuit_in_line
OVV,2022-03-31,False,short_circuit_in_line
SM,2022-03-31,False,short_circuit_in_line
CRGY,2022-03-31,False,short_circuit_in_line
