ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2021-03-31,False,ok
EOG,2021-03-31,False,ok
DVN,2021-03-31,False,ok
OXY,2021-03-31,False,ok
MTDR,2021-03-31,False,ok
OVV,2021-03-31,False,ok
SM,2021-03-31,False,ok
FANG,2021-06-30,False,ok
EOG,2021-06-30,False,ok
DVN,2021-06-30,False,ok
OXY,2021-06-30,False,ok
MTDR,2021-06-30,True,Expecting value: line 2 column 19 (char 20)
OVV,2021-06-30,False,ok
SM,2021-06-30,False,ok
FANG,2021-09-30,False,ok
EOG,2021-09-30,False,ok
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
CTRA,2021-09-30,False,ok
OXY,2021-09-30,False,ok
MTDR,2021-09-30,False,ok
OVV,2021-09-30,False,ok
SM,2021-09-30,False,ok
FANG,2021-12-31,False,ok
EOG,2021-12-31,False,ok
DVN,2021-12-31,False,ok
CTRA,2021-12-31,False,ok
OXY,2021-12-31,False,ok
MTDR,2021-12-31,False,ok
OVV,2021-12-31,False,ok
SM,2021-12-31,True,Expecting value: line 2 column 19 (char 20)
FANG,2022-03-31,False,ok
EOG,2022-03-31,True,LLM call failed after 5 attempts: Client error '402 Payment Required' for url 'h
MTDR,2021-06-30,True,Expecting value: line 2 column 19 (char 20)
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
SM,2021-12-31,True,Expecting value: line 2 column 19 (char 20)
MTDR,2021-06-30,True,Expecting value: line 2 column 19 (char 20)
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
SM,2021-12-31,True,Expecting value: line 2 column 19 (char 20)
EOG,2022-03-31,False,ok
MTDR,2021-06-30,True,Expecting value: line 2 column 19 (char 20)
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
SM,2021-12-31,True,Expecting value: line 2 column 19 (char 20)
DVN,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-06-30,False,short_circuit_in_line
DVN,2021-09-30,True,No JSON object found in response: {   "ticker": "DVN";   "n_articles_in_window":
SM,2021-12-31,True,Expecting value: line 2 column 19 (char 20)
DVN,2022-03-31,False,short_circuit_in_line
CTRA,2022-03-31,False,short_circuit_in_line
OXY,2022-03-31,False,short_circuit_in_line
MTDR,2022-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2022-03-31,False,short_circuit_in_line
SM,2022-03-31,False,ok
CRGY,2022-03-31,True,Expecting value: line 2 column 19 (char 20)
FANG,2022-06-30,False,short_circuit_in_line
EOG,2022-06-30,False,short_circuit_in_line
DVN,2022-06-30,False,short_circuit_in_line
CTRA,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2022-06-30,False,short_circuit_in_line
MTDR,2022-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2022-06-30,False,ok
SM,2022-06-30,False,ok
