ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2021-03-31,False,short_circuit_in_line
FANG,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-06-30,False,short_circuit_in_line
DVN,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Requests per mi
OXY,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-06-30,False,short_circuit_in_line
OVV,2021-06-30,False,short_circuit_in_line
SM,2021-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2021-09-30,False,short_circuit_in_line
EOG,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2021-09-30,False,ok
OXY,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2021-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2021-09-30,False,short_circuit_in_line
FANG,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2021-12-31,False,short_circuit_in_line
OVV,2021-12-31,False,short_circuit_modest_miss
SM,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2021-03-31,False,short_circuit_in_line
EOG,2021-03-31,False,short_circuit_in_line
DVN,2021-03-31,False,short_circuit_in_line
OXY,2021-03-31,False,short_circuit_in_line
MTDR,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2021-06-30,False,short_circuit_in_line
DVN,2021-06-30,False,short_circuit_in_line
OXY,2021-06-30,False,short_circuit_in_line
SM,2021-06-30,False,short_circuit_in_line
EOG,2021-09-30,False,short_circuit_in_line
DVN,2021-09-30,False,short_circuit_in_line
OXY,2021-09-30,False,ok
MTDR,2021-09-30,False,ok
OVV,2021-09-30,False,ok
FANG,2021-12-31,False,short_circuit_in_line
EOG,2021-12-31,False,short_circuit_in_line
DVN,2021-12-31,False,short_circuit_in_line
CTRA,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2021-12-31,False,short_circuit_modest_miss
SM,2021-12-31,False,short_circuit_modest_miss
MTDR,2021-03-31,False,short_circuit_in_line
OVV,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2021-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2021-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2021-12-31,False,short_circuit_modest_miss
OVV,2021-03-31,False,ok
