ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2024-03-31,False,short_circuit_in_line
OXY,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Requests per mi
MTDR,2024-03-31,False,short_circuit_in_line
PR,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2024-03-31,False,short_circuit_in_line
SM,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CRGY,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
FANG,2024-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2024-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2024-06-30,False,short_circuit_in_line
CTRA,2024-06-30,False,short_circuit_in_line
OXY,2024-06-30,False,short_circuit_modest_miss
MTDR,2024-06-30,False,short_circuit_in_line
PR,2024-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2024-06-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2024-06-30,False,short_circuit_strong_miss
CRGY,2024-06-30,False,short_circuit_in_line
FANG,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2024-09-30,False,short_circuit_strong_miss
DVN,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2024-09-30,False,short_circuit_in_line
PR,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OVV,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2024-09-30,False,short_circuit_in_line
CRGY,2024-09-30,False,short_circuit_in_line
FANG,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Requests per mi
EOG,2024-12-31,False,short_circuit_strong_miss
DVN,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2024-12-31,False,short_circuit_strong_miss
OXY,2024-12-31,False,short_circuit_strong_miss
MTDR,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
PR,2024-12-31,False,short_circuit_in_line
OVV,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
SM,2024-12-31,False,short_circuit_in_line
CRGY,2024-12-31,False,short_circuit_in_line
FANG,2024-03-31,False,short_circuit_strong_miss
EOG,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': 'Requests per mi
DVN,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
OXY,2024-03-31,False,short_circuit_in_line
PR,2024-03-31,False,short_circuit_in_line
SM,2024-03-31,False,short_circuit_strong_miss
CRGY,2024-03-31,False,short_circuit_in_line
FANG,2024-06-30,False,ok
EOG,2024-06-30,False,short_circuit_in_line
PR,2024-06-30,False,short_circuit_in_line
OVV,2024-06-30,False,ok
FANG,2024-09-30,False,short_circuit_in_line
DVN,2024-09-30,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
CTRA,2024-09-30,False,short_circuit_in_line
OXY,2024-09-30,False,short_circuit_strong_miss
PR,2024-09-30,False,ok
OVV,2024-09-30,False,short_circuit_modest_miss
FANG,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
DVN,2024-12-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
MTDR,2024-12-31,False,short_circuit_in_line
OVV,2024-12-31,False,ok
