ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
EOG,2024-03-31,False,ok
DVN,2024-03-31,False,ok
CTRA,2024-03-31,False,ok
OXY,2024-03-31,False,ok
MTDR,2024-03-31,True,LLM call failed after 2 attempts: Error code: 429 - {'message': "We're experienc
PR,2024-03-31,False,ok
OVV,2024-03-31,False,ok
SM,2024-03-31,False,ok
CRGY,2024-03-31,False,ok
FANG,2024-06-30,False,ok
EOG,2024-06-30,False,ok
DVN,2024-06-30,False,ok
FANG,2024-03-31,False,ok
MTDR,2024-03-31,False,ok
CTRA,2024-06-30,False,ok
OXY,2024-06-30,False,ok
MTDR,2024-06-30,False,ok
PR,2024-06-30,False,ok
OVV,2024-06-30,False,ok
SM,2024-06-30,False,ok
CRGY,2024-06-30,False,ok
FANG,2024-09-30,False,ok
EOG,2024-09-30,False,ok
DVN,2024-09-30,False,ok
CTRA,2024-09-30,False,ok
OXY,2024-09-30,False,ok
MTDR,2024-09-30,False,ok
PR,2024-09-30,False,ok
OVV,2024-09-30,False,ok
SM,2024-09-30,False,ok
CRGY,2024-09-30,False,ok
FANG,2024-12-31,False,ok
EOG,2024-12-31,False,ok
DVN,2024-12-31,False,ok
CTRA,2024-12-31,False,ok
OXY,2024-12-31,False,ok
MTDR,2024-12-31,False,ok
PR,2024-12-31,False,ok
OVV,2024-12-31,False,ok
SM,2024-12-31,False,ok
CRGY,2024-12-31,False,ok
