ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2019-03-31,False,short_circuit_in_line
EOG,2019-03-31,False,short_circuit_in_line
DVN,2019-03-31,False,short_circuit_modest_miss
OXY,2019-03-31,False,short_circuit_in_line
MTDR,2019-03-31,False,short_circuit_in_line
SM,2019-03-31,False,short_circuit_in_line
FANG,2019-06-30,False,ok
EOG,2019-06-30,False,short_circuit_in_line
DVN,2019-06-30,False,short_circuit_modest_miss
OXY,2019-06-30,False,short_circuit_modest_miss
MTDR,2019-06-30,False,short_circuit_in_line
SM,2019-06-30,False,ok
FANG,2019-09-30,False,ok
EOG,2019-09-30,False,short_circuit_modest_miss
DVN,2019-09-30,False,short_circuit_in_line
OXY,2019-09-30,False,short_circuit_in_line
MTDR,2019-09-30,False,short_circuit_in_line
SM,2019-09-30,False,short_circuit_in_line
FANG,2019-12-31,False,short_circuit_modest_miss
EOG,2019-12-31,False,short_circuit_modest_miss
DVN,2019-12-31,False,short_circuit_modest_miss
OXY,2019-12-31,False,short_circuit_in_line
MTDR,2019-12-31,False,short_circuit_modest_miss
SM,2019-12-31,False,short_circuit_in_line
