ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2023-03-31,False,short_circuit_modest_miss
EOG,2023-03-31,False,short_circuit_modest_miss
DVN,2023-03-31,False,short_circuit_in_line
CTRA,2023-03-31,False,ok
OXY,2023-03-31,False,short_circuit_modest_miss
MTDR,2023-03-31,False,short_circuit_modest_miss
PR,2023-03-31,False,short_circuit_modest_miss
OVV,2023-03-31,False,short_circuit_in_line
SM,2023-03-31,False,ok
CRGY,2023-03-31,False,short_circuit_in_line
FANG,2023-06-30,False,ok
EOG,2023-06-30,False,short_circuit_in_line
DVN,2023-06-30,False,short_circuit_in_line
CTRA,2023-06-30,False,short_circuit_in_line
OXY,2023-06-30,False,short_circuit_modest_miss
MTDR,2023-06-30,False,ok
PR,2023-06-30,False,short_circuit_modest_miss
OVV,2023-06-30,False,ok
SM,2023-06-30,False,ok
CRGY,2023-06-30,False,short_circuit_in_line
FANG,2023-09-30,False,ok
EOG,2023-09-30,False,short_circuit_modest_miss
DVN,2023-09-30,False,short_circuit_modest_miss
CTRA,2023-09-30,False,ok
OXY,2023-09-30,False,short_circuit_modest_miss
MTDR,2023-09-30,False,short_circuit_in_line
PR,2023-09-30,False,short_circuit_modest_miss
OVV,2023-09-30,False,short_circuit_modest_miss
SM,2023-09-30,False,short_circuit_in_line
CRGY,2023-09-30,False,short_circuit_in_line
FANG,2023-12-31,True,'charmap' codec can't encode character '\u2011' in position 2118: character maps
EOG,2023-12-31,False,short_circuit_modest_miss
DVN,2023-12-31,False,short_circuit_modest_miss
CTRA,2023-12-31,False,short_circuit_in_line
OXY,2023-12-31,False,ok
MTDR,2023-12-31,False,short_circuit_modest_miss
PR,2023-12-31,False,short_circuit_modest_miss
OVV,2023-12-31,False,short_circuit_modest_miss
SM,2023-12-31,False,short_circuit_modest_miss
CRGY,2023-12-31,False,short_circuit_in_line
FANG,2023-12-31,False,ok
