ticker,fiscal_quarter_end,decision_date_T,decision,conviction_tier,final_size_pct,low_quality_flag,run_id,n_newly_active,n_continuously_active,n_idle,absolute_active,share_active,relative_activity_delta,drilling_signal_raw,drilling_signal_clipped,alpha,revenue_forecast_usd,consensus_median_usd,consensus_dispersion_usd,n_analysts_at_T_minus_14,forecast_divergence_pct,divergence_class,agent3_confidence,actual_revenue_usd,actual_surprise_pct,actual_revenue_beat,forecast_direction,actual_direction,revenue_direction_correct,entry_price,exit_price,gross_return_pct,net_return_pct,net_pnl_usd,trade_win,error
DVN,2019-03-31,2019-04-16,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,2,0,23,2,0.08,-5.5,-0.7333333333333333,-0.7333333333333333,0.1,1295540233.3333333,1398065000.0,643602699.3178775,14,-7.33,modest_miss,medium,1079000000.0,-22.821900269300784,False,miss,miss,True,,,,,,,
EOG,2019-03-31,2019-04-18,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,8,17,8,0.32,0.5,0.06666666666666667,0.06666666666666667,0.1,3404818969.9999995,3382270499.9999995,709923876.5155662,18,0.67,in_line,medium,4019087000.0,18.828077174785417,True,in_line,beat,,,,,,,,
FANG,2019-03-31,2019-04-23,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,1,10,14,11,0.44,3.5,0.4666666666666667,0.4666666666666667,0.1,937320353.3333333,895529000.0,50725498.66718993,19,4.67,in_line,medium,864000000.0,-3.5207123387405654,False,in_line,miss,,,,,,,,
MTDR,2019-03-31,2019-04-17,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,9,16,9,0.36,1.5,0.2,0.2,0.1,202699500.0,198725000.0,11740181.003715402,9,2.0,in_line,medium,173889000.0,-12.49767266322808,False,in_line,miss,,,,,,,,
OXY,2019-03-31,2019-04-22,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,7,18,7,0.28,-0.5,-0.06666666666666667,-0.06666666666666667,0.1,3881946666.6666665,3908000000.0,453002297.04875064,9,-0.67,in_line,medium,4004000000.0,2.456499488229273,True,in_line,beat,,,,,,,,
SM,2019-03-31,2019-04-17,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,9,16,9,0.36,1.5,0.2,0.2,0.1,360766860.0,353693000.0,22959172.878332164,15,2.0,in_line,medium,340869000.0,-3.6257432292977247,False,in_line,miss,,,,,,,,
DVN,2019-06-30,2019-07-23,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,2,0,23,2,0.08,0.0,0.0,0.0,0.1,1459595500.0,1459595500.0,574993488.8042761,20,0.0,in_line,medium,1806000000.0,23.73291093320033,True,in_line,beat,,,,,,,,
EOG,2019-06-30,2019-07-18,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,5,20,5,0.2,-3.0,-0.375,-0.375,0.1,3611470843.75,3752177500.0,738587561.2244809,20,-3.75,in_line,medium,4663818000.0,24.296305278734813,True,in_line,beat,,,,,,,,
FANG,2019-06-30,2019-07-23,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,12,13,12,0.48,1.0,0.09090909090909091,0.09090909090909091,0.1,1053490909.090909,1044000000.0,51318706.336162806,22,0.91,in_line,medium,1021000000.0,-2.203065134099617,False,in_line,miss,,,,,,,,
MTDR,2019-06-30,2019-07-17,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,5,20,5,0.2,-4.0,-0.4444444444444444,-0.4444444444444444,0.1,208024444.44444445,217700000.0,13879921.3374332,12,-4.44,in_line,medium,241704000.0,11.02618282039504,True,in_line,beat,,,,,,,,
OXY,2019-06-30,2019-07-17,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.0,-1.0,-1.0,0.1,3883500000.0,4315000000.0,994109979.6175836,11,-10.0,modest_miss,medium,4420000000.0,2.4333719582850524,True,miss,beat,False,,,,,,,
SM,2019-06-30,2019-07-18,long,low,0.05,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,7,11,7,18,0.72,9.0,1.0,1.0,0.1,446722650.00000006,406111500.0,17579321.211623553,18,10.0,modest_beat,medium,406910000.0,0.1966208787488165,True,beat,beat,True,9.35,9.59,0.025668449197860987,0.022668449197860988,1133.4224598930493,True,
DVN,2019-09-30,2019-10-22,long,low,0.05,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,6,7,12,13,0.52,11.0,5.5,1.0,0.1,1604856000.0000002,1458960000.0,527810946.6049865,22,10.0,modest_beat,medium,1746000000.0,19.674288534298405,True,beat,beat,True,20.67,22.68,0.09724238026124808,0.0942423802612481,4712.1190130624045,True,
EOG,2019-09-30,2019-10-23,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,3,22,3,0.12,-3.5,-0.5384615384615384,-0.5384615384615384,0.1,3948489230.769231,4173200000.0,744362967.1989939,21,-5.38,modest_miss,medium,4273702000.0,2.4082718297709196,True,miss,beat,False,,,,,,,
FANG,2019-09-30,2019-10-22,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,1,7,17,8,0.32,-3.5,-0.30434782608695654,-0.30434782608695654,0.1,1038404347.8260869,1071000000.0,66858979.83884047,21,-3.04,in_line,medium,975000000.0,-8.96358543417367,False,in_line,miss,,,,,,,,
MTDR,2019-09-30,2019-10-15,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,3,4,18,7,0.28,0.0,0.0,0.0,0.1,236100000.0,236100000.0,17992258.397023838,14,0.0,in_line,medium,279402000.0,18.340533672172807,True,in_line,beat,,,,,,,,
OXY,2019-09-30,2019-10-21,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,1,24,1,0.04,-2.5,-0.7142857142857143,-0.7142857142857143,0.1,4774714285.714286,5142000000.0,1024734214.3985058,13,-7.14,modest_miss,medium,5859000000.0,13.943990665110853,True,miss,beat,False,,,,,,,
SM,2019-09-30,2019-10-17,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,5,1,19,6,0.24,-7.5,-0.5555555555555556,-0.5555555555555556,0.1,381882333.3333333,404346000.0,27126898.997120917,20,-5.56,modest_miss,medium,390317000.0,-3.469553303359004,False,miss,miss,True,,,,,,,
DVN,2019-12-31,2020-02-04,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-5.666666666666667,-1.0,-1.0,0.1,1169325000.0,1299250000.0,637788543.0015908,20,-10.0,modest_miss,medium,1589000000.0,22.301327689051377,True,miss,beat,False,,,,,,,
EOG,2019-12-31,2020-02-13,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,2,23,2,0.08,-3.333333333333333,-0.625,-0.625,0.1,3885515625.0,4144550000.0,690961168.9574149,20,-6.25,modest_miss,medium,4165395000.0000005,0.5029496567781901,True,miss,beat,False,,,,,,,
FANG,2019-12-31,2020-02-04,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-10.333333333333334,-1.0,-1.0,0.1,994995000.0,1105550000.0,44987958.365340136,20,-10.0,modest_miss,medium,1104000000.0,-0.14020170955632943,False,miss,miss,True,,,,,,,
MTDR,2019-12-31,2020-02-11,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,2,23,2,0.08,-5.0,-0.7142857142857143,-0.7142857142857143,0.1,236785714.2857143,255000000.0,15925762.44420237,16,-7.14,modest_miss,medium,288675000.0,13.205882352941176,True,miss,beat,False,,,,,,,
OXY,2019-12-31,2020-02-13,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,9,16,9,0.36,6.333333333333334,2.375000000000001,1.0,0.1,6523336600.000002,5930306000.000001,1137712486.6903536,14,10.0,modest_beat,medium,6628000000.0,11.764890378337963,True,beat,beat,True,,,,,,,
SM,2019-12-31,2020-02-05,no_trade,none,0.0,False,2026-05-05-strategy1-2019Q1_2019Q4-target-realsar-v2_5_fix,0,5,20,5,0.2,-6.0,-0.5454545454545454,-0.5454545454545454,0.1,390130472.72727275,412638000.0,19074654.504391547,21,-5.45,modest_miss,medium,451147000.0,9.332393041842971,True,miss,beat,False,,,,,,,
DVN,2020-03-31,2020-04-21,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,0,1,24,1,0.04,-3.25,-0.7647058823529411,-0.7647058823529411,0.1,990479752.9411767,1072494000.0000001,373083204.48236686,20,-7.65,modest_miss,medium,2087000000.0,94.59316322515555,True,miss,beat,False,,,,,,,
EOG,2020-03-31,2020-04-23,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,5,0,20,5,0.2,0.5,0.1111111111111111,0.1111111111111111,0.1,3739796666.6666665,3698700000.0,886829499.5872682,19,1.11,in_line,medium,4680216000.0,26.53678319409522,True,in_line,beat,,,,,,,,
FANG,2020-03-31,2020-04-20,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,4,4,17,8,0.32,0.25,0.03225806451612903,0.03225806451612903,0.1,1039547596.7741934,1036204999.9999999,97608993.78285214,22,0.32,in_line,medium,899000000.0,-13.241105765750977,False,in_line,miss,,,,,,,,
MTDR,2020-03-31,2020-04-15,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,5,0,20,5,0.2,-0.75,-0.13043478260869565,-0.13043478260869565,0.1,249700000.0,253000000.0,28546911.456658244,15,-1.3,in_line,medium,371585000.0,46.87154150197628,True,in_line,beat,,,,,,,,
OVV,2020-03-31,2020-04-23,long,medium,0.1,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,2,13,10,15,0.6,7.5,1.0,1.0,0.1,1732060000.0000002,1574600000.0,225128960.5519468,5,10.0,modest_beat,medium,2643000000.0,67.85215292772767,True,beat,beat,True,5.0,5.86,0.17200000000000007,0.16900000000000007,16900.000000000007,True,
OXY,2020-03-31,2020-04-21,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,1,7,17,8,0.32,3.75,0.8823529411764706,0.8823529411764706,0.1,5511367647.058823,5064500000.0,934039868.3906543,14,8.82,modest_beat,medium,6613000000.0,30.5755750814493,True,beat,beat,True,,,,,,,
SM,2020-03-31,2020-04-15,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,8,1,16,9,0.36,-0.5,-0.05263157894736842,-0.05263157894736842,0.1,417093157.8947368,419300000.0,29119029.416077513,23,-0.53,in_line,medium,355734000.0,-15.160028619127116,False,in_line,miss,,,,,,,,
DVN,2020-06-30,2020-07-21,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-4.0,-1.0,-1.0,0.1,900000000.0,1000000000.0,317646019.8533096,19,-10.0,modest_miss,medium,394000000.0,-60.6,False,miss,miss,True,,,,,,,
EOG,2020-06-30,2020-07-23,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-3.75,-1.0,-1.0,0.1,2126250000.0,2362500000.0,1145100903.938774,20,-10.0,modest_miss,medium,1086656000.0,-54.00397883597884,False,miss,miss,True,,,,,,,
FANG,2020-06-30,2020-07-20,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.0,-1.0,-1.0,0.1,636300000.0,707000000.0,241088472.92715558,23,-10.0,modest_miss,medium,425000000.0,-39.886845827439885,False,miss,miss,True,,,,,,,
MTDR,2020-06-30,2020-07-14,long,medium,0.1,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,3,9,13,12,0.48,7.25,1.5263157894736843,1.0,0.1,215138000.00000003,195580000.0,43800657.65237952,15,10.0,modest_beat,medium,62920000.0,-67.82902137232846,False,beat,miss,False,8.55,8.93,0.04444444444444432,0.041444444444444326,4144.4444444444325,True,
OVV,2020-06-30,2020-07-14,no_trade,none,0.0,False,2026-05-05-strategy1-2020Q1_2020Q4-target-realsar-v2_5_fix,0,5,20,5,0.2,-10.0,-0.6666666666666666,-0.6666666666666666,0.1,1186826666.6666667,1271600000.0,165800727.6323858,8,-6.67,modest_miss,medium,726000000.0,-42.90657439446367,False,miss,miss,True,,,,,,,
