ticker,fiscal_quarter_end,decision,divergence_class,sc_activity_strength,sc_newness,sc_qoq_delta,sc_dispersion,sc_analyst_breadth,signal_confidence_score,signal_confidence_tier
DVN,2019-03-31,no_trade,modest_miss,4.0,20.0,0.0,0.0,12.0,36.0,low
EOG,2019-03-31,no_trade,in_line,8.0,0.0,8.0,4.0,16.0,36.0,low
FANG,2019-03-31,no_trade,in_line,12.0,4.0,20.0,12.0,16.0,64.0,medium
MTDR,2019-03-31,no_trade,in_line,8.0,0.0,16.0,12.0,8.0,44.0,medium
OXY,2019-03-31,no_trade,in_line,8.0,0.0,0.0,8.0,8.0,24.0,low
SM,2019-03-31,no_trade,in_line,8.0,0.0,16.0,12.0,12.0,48.0,medium
DVN,2019-06-30,no_trade,in_line,4.0,20.0,4.0,4.0,16.0,48.0,medium
EOG,2019-06-30,no_trade,in_line,4.0,0.0,0.0,8.0,16.0,28.0,low
FANG,2019-06-30,no_trade,in_line,12.0,0.0,12.0,16.0,20.0,60.0,medium
MTDR,2019-06-30,no_trade,in_line,4.0,0.0,0.0,12.0,12.0,28.0,low
OXY,2019-06-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,12.0,26.0,low
SM,2019-06-30,long,modest_beat,16.0,8.0,20.0,16.0,16.0,76.0,high
DVN,2019-09-30,long,modest_beat,12.0,12.0,20.0,4.0,20.0,68.0,medium
EOG,2019-09-30,no_trade,modest_miss,4.0,0.0,0.0,8.0,20.0,32.0,low
FANG,2019-09-30,no_trade,in_line,8.0,4.0,0.0,12.0,20.0,44.0,medium
MTDR,2019-09-30,no_trade,in_line,8.0,12.0,4.0,12.0,12.0,48.0,medium
OXY,2019-09-30,no_trade,modest_miss,4.0,0.0,0.0,8.0,12.0,24.0,low
SM,2019-09-30,no_trade,modest_miss,8.0,20.0,0.0,12.0,16.0,56.0,medium
DVN,2019-12-31,no_trade,modest_miss,0.0,10.0,0.0,0.0,16.0,26.0,low
EOG,2019-12-31,no_trade,modest_miss,4.0,0.0,0.0,8.0,16.0,28.0,low
FANG,2019-12-31,no_trade,modest_miss,0.0,10.0,0.0,16.0,16.0,42.0,medium
MTDR,2019-12-31,no_trade,modest_miss,4.0,0.0,0.0,12.0,16.0,32.0,low
OXY,2019-12-31,no_trade,modest_beat,8.0,0.0,20.0,8.0,12.0,48.0,medium
SM,2019-12-31,no_trade,modest_miss,4.0,0.0,0.0,16.0,20.0,40.0,medium
DVN,2020-03-31,no_trade,modest_miss,4.0,0.0,0.0,4.0,16.0,24.0,low
EOG,2020-03-31,no_trade,in_line,4.0,20.0,8.0,4.0,16.0,52.0,medium
FANG,2020-03-31,no_trade,in_line,8.0,12.0,8.0,12.0,20.0,60.0,medium
MTDR,2020-03-31,no_trade,in_line,4.0,20.0,0.0,8.0,12.0,44.0,medium
OVV,2020-03-31,long,modest_beat,12.0,4.0,20.0,8.0,4.0,48.0,medium
OXY,2020-03-31,no_trade,modest_beat,8.0,4.0,20.0,8.0,12.0,52.0,medium
SM,2020-03-31,no_trade,in_line,8.0,20.0,0.0,12.0,20.0,60.0,medium
DVN,2020-06-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,16.0,30.0,low
EOG,2020-06-30,no_trade,modest_miss,0.0,10.0,0.0,0.0,16.0,26.0,low
FANG,2020-06-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,20.0,34.0,low
MTDR,2020-06-30,long,modest_beat,12.0,8.0,20.0,4.0,12.0,56.0,medium
OVV,2020-06-30,no_trade,modest_miss,4.0,0.0,0.0,8.0,8.0,20.0,low
OXY,2020-06-30,no_trade,modest_miss,4.0,0.0,0.0,4.0,12.0,20.0,low
SM,2020-06-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,20.0,34.0,low
DVN,2020-09-30,no_trade,modest_miss,4.0,20.0,0.0,0.0,16.0,40.0,medium
EOG,2020-09-30,no_trade,in_line,4.0,0.0,0.0,4.0,16.0,24.0,low
FANG,2020-09-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,20.0,34.0,low
MTDR,2020-09-30,long,modest_beat,12.0,20.0,20.0,4.0,16.0,72.0,high
OVV,2020-09-30,no_trade,modest_miss,4.0,0.0,0.0,8.0,8.0,20.0,low
OXY,2020-09-30,no_trade,modest_miss,0.0,10.0,0.0,8.0,12.0,30.0,low
SM,2020-09-30,no_trade,modest_miss,0.0,10.0,0.0,4.0,16.0,30.0,low
DVN,2020-12-31,no_trade,in_line,4.0,0.0,16.0,4.0,16.0,40.0,medium
EOG,2020-12-31,no_trade,modest_beat,8.0,0.0,20.0,8.0,16.0,52.0,medium
