ticker,fiscal_quarter_end,year,qtr,entry_date_T,earnings_date,entry_price,exit_price,size_pct,conviction_tier,net_return_pct,net_pnl_usd
FANG,2019-06-30,2019,2,2019-07-23,2019-08-06,104.44,95.2,0.05,low,-0.0914718498659517,-4573.592493297585
FANG,2019-09-30,2019,3,2019-10-22,2019-11-05,85.69,75.56,0.1,medium,-0.12121682810129532,-12121.682810129532
SM,2020-03-31,2020,1,2020-04-15,2020-04-29,1.73,3.31,0.1,medium,0.9102947976878615,91029.47976878614
OVV,2020-03-31,2020,1,2020-04-23,2020-05-07,5.0,5.86,0.1,medium,0.16900000000000007,16900.000000000007
MTDR,2020-09-30,2020,3,2020-10-13,2020-10-27,8.77,6.91,0.05,low,-0.21508665906499425,-10754.332953249712
OVV,2021-03-31,2021,1,2021-04-15,2021-04-29,24.21,24.94,0.1,medium,0.027152829409335003,2715.2829409335004
MTDR,2021-06-30,2021,2,2021-07-13,2021-07-27,35.54,30.9,0.1,medium,-0.13355711873944853,-13355.711873944852
MTDR,2021-09-30,2021,3,2021-10-12,2021-10-26,42.39,42.32,0.1,medium,-0.004651332861523951,-465.1332861523951
FANG,2021-09-30,2021,3,2021-10-18,2021-11-01,109.26,111.81,0.1,medium,0.02033882482152661,2033.882482152661
OVV,2021-09-30,2021,3,2021-10-19,2021-11-02,39.27,35.74,0.1,medium,-0.09289050165520756,-9289.050165520755
CTRA,2021-09-30,2021,3,2021-10-20,2021-11-03,21.41,21.58,0.1,medium,0.004940214852872404,494.02148528724035
OXY,2021-09-30,2021,3,2021-10-21,2021-11-04,32.8,34.29,0.1,medium,0.04242682926829274,4242.682926829274
DVN,2021-12-31,2021,4,2022-02-01,2022-02-15,52.56,55.25,0.1,medium,0.048179604261795995,4817.960426179599
MTDR,2022-09-30,2022,3,2022-10-11,2022-10-25,60.09,66.04,0.1,medium,0.09601813945748049,9601.813945748048
DVN,2022-09-30,2022,3,2022-10-18,2022-11-01,69.77,70.73,0.1,medium,0.01075949548516566,1075.949548516566
OVV,2022-12-31,2022,4,2023-02-13,2023-02-27,48.38,45.21,0.05,low,-0.0685229433650269,-3426.1471682513447
CTRA,2023-03-31,2023,1,2023-04-20,2023-05-04,25.56,24.86,0.1,medium,-0.030386541471048484,-3038.6541471048486
OVV,2023-06-30,2023,2,2023-07-13,2023-07-27,39.8,46.09,0.1,medium,0.1550402010050253,15504.02010050253
DVN,2023-06-30,2023,2,2023-07-18,2023-08-01,50.51,50.83,0.1,medium,0.003335379132844987,333.5379132844987
EOG,2023-09-30,2023,3,2023-10-19,2023-11-02,136.23,126.42,0.1,medium,-0.07501057035895169,-7501.057035895168
FANG,2023-09-30,2023,3,2023-10-23,2023-11-06,165.32001,155.97,0.1,medium,-0.05955703746932992,-5955.7037469329925
FANG,2024-06-30,2024,2,2024-07-22,2024-08-05,204.67999,191.38,0.1,medium,-0.06797943448209084,-6797.943448209085
FANG,2024-09-30,2024,3,2024-10-21,2024-11-04,182.41,183.62,0.1,medium,0.0036334082561263518,363.3408256126352
