ticker,fiscal_quarter_end,year,qtr,entry_date_T,earnings_date,entry_price,exit_price,size_pct,conviction_tier,net_return_pct,net_pnl_usd
SM,2019-06-30,2019,2,2019-07-18,2019-08-01,9.35,9.59,0.05,low,0.022668449197860988,1133.4224598930493
DVN,2019-09-30,2019,3,2019-10-22,2019-11-05,20.67,22.68,0.05,low,0.0942423802612481,4712.1190130624045
OVV,2020-03-31,2020,1,2020-04-23,2020-05-07,5.0,5.86,0.1,medium,0.16900000000000007,16900.000000000007
MTDR,2020-06-30,2020,2,2020-07-14,2020-07-28,8.55,8.93,0.1,medium,0.041444444444444326,4144.4444444444325
MTDR,2020-09-30,2020,3,2020-10-13,2020-10-27,8.77,6.91,0.1,medium,-0.21508665906499425,-21508.665906499424
OVV,2021-03-31,2021,1,2021-04-15,2021-04-29,24.21,24.94,0.1,medium,0.027152829409335003,2715.2829409335004
SM,2021-03-31,2021,1,2021-04-15,2021-04-29,17.42,16.52,0.1,medium,-0.05466475315729059,-5466.475315729059
FANG,2021-03-31,2021,1,2021-04-19,2021-05-03,77.67,83.12,0.1,medium,0.06716866228917218,6716.866228917218
OVV,2021-06-30,2021,2,2021-07-13,2021-07-27,30.11,26.07,0.1,medium,-0.13717469279309197,-13717.469279309196
MTDR,2021-06-30,2021,2,2021-07-13,2021-07-27,35.54,30.9,0.1,medium,-0.13355711873944853,-13355.711873944852
SM,2021-06-30,2021,2,2021-07-15,2021-07-29,20.42,18.72,0.1,medium,-0.08625171400587672,-8625.171400587673
FANG,2021-06-30,2021,2,2021-07-19,2021-08-02,73.19,76.42,0.1,medium,0.041131711982511324,4113.171198251132
OXY,2021-06-30,2021,2,2021-07-20,2021-08-03,25.37,26.19,0.1,medium,0.029321639731966904,2932.16397319669
MTDR,2021-09-30,2021,3,2021-10-12,2021-10-26,42.39,42.32,0.1,medium,-0.004651332861523951,-465.1332861523951
SM,2021-09-30,2021,3,2021-10-14,2021-10-28,29.37,36.64,0.1,medium,0.24453149472250593,24453.149472250592
FANG,2021-09-30,2021,3,2021-10-18,2021-11-01,109.26,111.81,0.1,medium,0.02033882482152661,2033.882482152661
DVN,2021-09-30,2021,3,2021-10-19,2021-11-02,40.3,42.36,0.1,medium,0.04811662531017376,4811.662531017376
OVV,2021-09-30,2021,3,2021-10-19,2021-11-02,39.27,35.74,0.1,medium,-0.09289050165520756,-9289.050165520755
CTRA,2021-09-30,2021,3,2021-10-20,2021-11-03,21.41,21.58,0.1,medium,0.004940214852872404,494.02148528724035
EOG,2021-09-30,2021,3,2021-10-21,2021-11-04,90.9,96.99,0.05,low,0.06399669966996688,3199.834983498344
OXY,2021-09-30,2021,3,2021-10-21,2021-11-04,32.8,34.29,0.1,medium,0.04242682926829274,4242.682926829274
DVN,2022-09-30,2022,3,2022-10-18,2022-11-01,69.77,70.73,0.1,medium,0.01075949548516566,1075.949548516566
EOG,2022-09-30,2022,3,2022-10-20,2022-11-03,131.59,145.94,0.1,medium,0.10605083972946268,10605.083972946268
SM,2022-09-30,2022,3,2022-10-20,2022-11-03,42.85,48.38,0.1,medium,0.12605484247374565,12605.484247374565
FANG,2022-09-30,2022,3,2022-10-24,2022-11-07,153.25999,157.55,0.05,low,0.024991715254581603,1249.5857627290802
OVV,2022-09-30,2022,3,2022-10-25,2022-11-08,50.94,53.85,0.1,medium,0.05412603062426391,5412.603062426391
OXY,2022-09-30,2022,3,2022-10-25,2022-11-08,71.09,70.48,0.1,medium,-0.011580672387114915,-1158.0672387114914
DVN,2022-12-31,2022,4,2023-01-31,2023-02-14,63.24,55.72,0.05,low,-0.12191208096141687,-6095.604048070843
EOG,2022-12-31,2022,4,2023-02-09,2023-02-23,127.16,114.75,0.1,medium,-0.10059358288770051,-10059.35828877005
OVV,2022-12-31,2022,4,2023-02-13,2023-02-27,48.38,45.21,0.05,low,-0.0685229433650269,-3426.1471682513447
SM,2023-03-31,2023,1,2023-04-13,2023-04-27,30.96,28.04,0.1,medium,-0.09731524547803623,-9731.524547803623
CTRA,2023-03-31,2023,1,2023-04-20,2023-05-04,25.56,24.86,0.1,medium,-0.030386541471048484,-3038.6541471048486
MTDR,2023-06-30,2023,2,2023-07-11,2023-07-25,53.84,53.24,0.1,medium,-0.014144130757800917,-1414.4130757800917
OVV,2023-06-30,2023,2,2023-07-13,2023-07-27,39.8,46.09,0.1,medium,0.1550402010050253,15504.02010050253
FANG,2023-06-30,2023,2,2023-07-17,2023-07-31,135.47,146.78999,0.1,medium,0.0805608621835092,8056.08621835092
SM,2023-06-30,2023,2,2023-07-19,2023-08-02,34.76,38.33,0.1,medium,0.09970425776754892,9970.425776754892
FANG,2023-09-30,2023,3,2023-10-23,2023-11-06,165.32001,155.97,0.1,medium,-0.05955703746932992,-5955.7037469329925
CTRA,2023-09-30,2023,3,2023-10-23,2023-11-06,28.4,26.88,0.1,medium,-0.05652112676056337,-5652.112676056337
OXY,2023-12-31,2023,4,2024-01-31,2024-02-14,57.57,60.52,0.1,medium,0.048241966301893396,4824.19663018934
DVN,2024-03-31,2024,1,2024-04-17,2024-05-01,51.67,50.54,0.1,medium,-0.024869556802786966,-2486.9556802786965
OVV,2024-06-30,2024,2,2024-07-16,2024-07-30,48.46,44.48,0.1,medium,-0.08512959141560057,-8512.959141560057
FANG,2024-06-30,2024,2,2024-07-22,2024-08-05,204.67999,191.38,0.1,medium,-0.06797943448209084,-6797.943448209085
PR,2024-06-30,2024,2,2024-07-23,2024-08-06,15.67,14.53,0.1,medium,-0.0757504786215699,-7575.047862156991
SM,2024-06-30,2024,2,2024-07-24,2024-08-07,44.5,43.11,0.05,low,-0.03423595505617979,-1711.7977528089896
MTDR,2024-09-30,2024,3,2024-10-08,2024-10-22,53.17,52.4,0.1,medium,-0.017481850667669795,-1748.1850667669796
CTRA,2024-09-30,2024,3,2024-10-17,2024-10-31,24.07,23.07,0.1,medium,-0.044545492314083925,-4454.549231408392
SM,2024-09-30,2024,3,2024-10-17,2024-10-31,43.52,40.94,0.1,medium,-0.06228308823529424,-6228.308823529424
PR,2024-09-30,2024,3,2024-10-23,2024-11-06,13.85,14.92,0.1,medium,0.07425631768953071,7425.6317689530715
OVV,2024-09-30,2024,3,2024-10-24,2024-11-07,39.81,42.69,0.05,low,0.06934363225320259,3467.1816126601293
OXY,2024-09-30,2024,3,2024-10-29,2024-11-12,50.08,50.67,0.1,medium,0.008781150159744478,878.1150159744477
OVV,2024-12-31,2024,4,2025-02-12,2025-02-26,41.2365,41.9508,0.1,medium,0.014322032665235934,1432.2032665235934
