strategy,ticker,fiscal_quarter_end,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd,cum_growth_factor,running_max,drawdown_pct
6,MTDR,2021-03-31,2021-04-14,2021-04-30,24.9,26.31,0.1,0.05662650602409639,0.05362650602409639,5662.650602409639,5362.650602409639,1.0536265060240964,1.0536265060240964,0.0
6,OVV,2021-03-31,2021-04-15,2021-05-01,24.21,24.94,0.1,0.030152829409335002,0.027152829409335003,3015.2829409335004,2715.2829409335004,1.0822354468033224,1.0822354468033224,0.0
6,SM,2021-03-31,2021-04-15,2021-05-01,17.42,16.52,0.1,-0.05166475315729059,-0.05466475315729059,-5166.475315729059,-5466.475315729059,1.0230753132457486,1.0822354468033224,-0.05466475315729064
6,FANG,2021-03-31,2021-04-19,2021-05-05,77.67,83.12,0.1,0.07016866228917218,0.06716866228917218,7016.866228917218,6716.866228917218,1.0917939134575412,1.0917939134575412,0.0
6,DVN,2021-03-31,2021-04-20,2021-05-06,20.97,25.27,0.1,0.20505484024797335,0.20205484024797338,20505.484024797337,20205.484024797337,1.3123961582249144,1.3123961582249144,0.0
6,EOG,2021-03-31,2021-04-22,2021-05-08,68.35,84.55,0.1,0.23701536210680327,0.23401536210680327,23701.536210680326,23401.536210680326,1.6195170204194953,1.6195170204194953,0.0
6,OXY,2021-03-31,2021-04-26,2021-05-12,24.9,25.12,0.1,0.008835341365461945,0.005835341365461945,883.5341365461945,583.5341365461945,1.6289674550808189,1.6289674550808189,0.0
6,MTDR,2021-06-30,2021-07-13,2021-07-29,35.54,30.9,0.1,-0.13055711873944853,-0.13355711873944853,-13055.711873944852,-13355.711873944852,1.4114072552598926,1.6289674550808189,-0.13355711873944853
6,OVV,2021-06-30,2021-07-13,2021-07-29,30.11,26.07,0.1,-0.13417469279309197,-0.13717469279309197,-13417.469279309196,-13717.469279309196,1.2177978986136757,1.6289674550808189,-0.2524111547991262
6,SM,2021-06-30,2021-07-15,2021-07-31,20.42,18.72,0.1,-0.08325171400587672,-0.08625171400587672,-8325.171400587673,-8625.171400587673,1.1127607425454913,1.6289674550808189,-0.3168919740693756
6,FANG,2021-06-30,2021-07-19,2021-08-04,73.19,76.42,0.1,0.044131711982511326,0.041131711982511324,4413.171198251132,4113.171198251132,1.1585304969133179,1.6289674550808189,-0.28879457149385523
6,DVN,2021-06-30,2021-07-20,2021-08-05,25.33,26.63,0.1,0.05132254243979474,0.048322542439794745,5132.254243979474,4832.254243979474,1.2145136360182083,1.6289674550808189,-0.2544273169914546
6,OXY,2021-06-30,2021-07-20,2021-08-05,25.37,26.19,0.1,0.0323216397319669,0.029321639731966904,3232.16397319669,2932.16397319669,1.2501251673030953,1.6289674550808189,-0.2325659033862821
6,EOG,2021-06-30,2021-07-21,2021-08-06,74.19,70.93,0.1,-0.04394123197196376,-0.04694123197196375,-4394.123197196375,-4694.123197196375,1.1914427518307307,1.6289674550808189,-0.2685902053386211
6,MTDR,2021-09-30,2021-10-12,2021-10-28,42.39,42.32,0.1,-0.001651332861523951,-0.004651332861523951,-165.1332861523951,-465.1332861523951,1.1859009550065158,1.6289674550808189,-0.2719922357517701
6,SM,2021-09-30,2021-10-14,2021-10-30,29.37,36.64,0.1,0.24753149472250593,0.24453149472250593,24753.149472250592,24453.149472250592,1.4758910881271063,1.6289674550808189,-0.09397140899056075
6,FANG,2021-09-30,2021-10-18,2021-11-03,109.26,111.81,0.1,0.023338824821526608,0.02033882482152661,2333.882482152661,2033.882482152661,1.505908978424176,1.6289674550808189,-0.07554385219472513
6,DVN,2021-09-30,2021-10-19,2021-11-04,40.3,42.36,0.1,0.05111662531017376,0.04811662531017376,5111.662531017376,4811.662531017376,1.5783682364902385,1.6289674550808189,-0.031062142115092138
6,OVV,2021-09-30,2021-10-19,2021-11-04,39.27,35.74,0.1,-0.08989050165520755,-0.09289050165520756,-8989.050165520755,-9289.050165520755,1.431752819206015,1.6289674550808189,-0.12106726580674346
6,CTRA,2021-09-30,2021-10-20,2021-11-05,21.41,21.58,0.1,0.007940214852872404,0.004940214852872404,794.0214852872404,494.02148528724035,1.4388259857490984,1.6289674550808189,-0.1167251492586062
6,EOG,2021-09-30,2021-10-21,2021-11-06,90.9,96.99,0.1,0.06699669966996688,0.06399669966996688,6699.669966996688,6399.669966996688,1.5309061002364273,1.6289674550808189,-0.06019847390967454
6,OXY,2021-09-30,2021-10-21,2021-11-06,32.8,34.29,0.1,0.045426829268292744,0.04242682926829274,4542.682926829274,4242.682926829274,1.595857591976946,1.6289674550808189,-0.020325675016159346
