label,window,ticker,fiscal_quarter_end,v25_decision,v25_size_pct,entry_price,exit_price,net_return_pct,net_pnl_usd,win,divergence_pct,divergence_class,agent3_confidence,consensus_median_usd,consensus_dispersion_usd,n_analysts_at_T_minus_14,dispersion_adjusted_surprise,absolute_active,n_newly_active,n_continuously_active,share_active,relative_activity_delta,wti_4w_return_pct,actual_revenue_usd,actual_revenue_beat,gdelt_disclosed,gdelt_n_articles,agent4_modifier,bull_direction,bear_direction,arbiter_decision,arbiter_overruled_bear,arbiter_reasoning_240,sc_activity_strength,sc_newness,sc_qoq_delta,sc_dispersion,sc_analyst_breadth,signal_confidence_score,signal_confidence_tier
v2.5_only,2019,FANG,2019-06-30,long,0.05,104.44,95.2,-0.0914718498659517,-4573.592493297585,False,10.0,modest_beat,medium,1044000000.0,51318706.336162806,22,2.0343459033462103,12,0,12,0.48,10.0,3.6347031963470444,1021000000.0,False,True,75,downgrade_one_tier,?,?,long,False,"Bull side narrowly prevails: Agent 2's operational strength and $1.15B revenue forecast, supported by Agent 3's modest_beat (+10%), outweigh Bear's pricing-in/stagnation concerns. However Agent 4's GDELT disclosure (75 articles) and downgra",12.0,0.0,20.0,16.0,20.0,68.0,medium
v2.5_only,2019,FANG,2019-09-30,long,0.1,85.69,75.56,-0.12121682810129532,-12121.682810129532,False,10.0,modest_beat,medium,1071000000.0,66858979.83884047,21,1.601879063338359,8,1,7,0.32,4.5,-9.843249620765205,975000000.0,False,False,75,none,?,?,long,False,"Bull prevailed: Agent 2's operational evidence (increased drilling, solid revenue forecast) plus Agent 3's modest_beat (+10%) create a constructive earnings setup. Agent 4 discloses no negative GDELT signal, so no news downgrade. Bear's con",8.0,4.0,20.0,12.0,20.0,64.0,medium
dropped,2019,OXY,2019-12-31,no_trade,0.0,,,,,,2.0,in_line,medium,5930306000.000001,1137712486.6903536,14,0.10424964249538077,9,0,9,0.36,1.5,-17.225509533201844,6628000000.0,True,False,0,none,?,?,no_trade,False,short_circuit_no_beat_divergence (DL #61): Agent 3 emitted divergence_class=in_line; Investment Board LLM calls skipped because the locked guardrail forces no_trade regardless of LLM debate.,8.0,0.0,16.0,8.0,12.0,44.0,medium
dropped,2019,SM,2019-12-31,no_trade,0.0,,,,,,-3.33,in_line,medium,412638000.0,19074654.504391547,21,-0.7203719153516754,5,0,5,0.2,-2.5,-15.123208246094377,451147000.0,True,False,0,none,?,?,no_trade,False,short_circuit_no_beat_divergence (DL #61): Agent 3 emitted divergence_class=in_line; Investment Board LLM calls skipped because the locked guardrail forces no_trade regardless of LLM debate.,4.0,0.0,0.0,16.0,20.0,40.0,medium
v2.5_only,2020,OVV,2020-03-31,long,0.1,5.0,5.86,0.16900000000000007,16900.000000000007,True,10.0,modest_beat,medium,1574600000.0,225128960.5519468,5,0.6994213432779001,15,2,13,0.6,7.5,-16.82513435303845,2643000000.0,True,False,61,none,?,?,long,False,"Bull prevailed: Agent 2's operational evidence (7.5 relative activity delta and $1.73B revenue forecast) together with Agent 3's modest_beat (10% divergence, medium confidence) provide a coherent upside case. Bear risks (WTI volatility, lim",12.0,4.0,20.0,8.0,4.0,48.0,medium
v2.5_only,2020,SM,2020-03-31,long,0.1,1.73,3.31,0.9102947976878615,91029.47976878614,True,10.0,modest_beat,medium,419300000.0,29119029.416077513,23,1.4399518404569196,9,8,1,0.36,7.0,-24.637233714109296,355734000.0,False,False,49,none,?,?,long,False,"Bull side prevails. Agent 2's strong operational signal (9 active sites) and $461.23M revenue forecast, together with Agent 3's modest_beat (+10%) at medium confidence and no GDELT disclosure, support a long. Bear risks (WTI volatility, lim",8.0,20.0,20.0,12.0,20.0,80.0,high
v2.5_only,2020,MTDR,2020-09-30,long,0.05,8.77,6.91,-0.21508665906499425,-10754.332953249712,False,10.0,modest_beat,medium,190718000.00000003,44741906.701985404,16,0.4262625669270751,11,9,2,0.44,7.5,7.517388978063111,203386000.0,True,True,46,downgrade_one_tier,?,?,long,False,"Bull side prevailed: Agent 2's operational evidence (increased drilling, stable realized price) plus Agent 3's modest_beat (+10%, medium confidence) support a long position. however Agent 4's GDELT disclosure (46 articles) and downgrade_one",12.0,20.0,20.0,4.0,16.0,72.0,high
inherited,2021,OVV,2021-03-31,long,0.1,24.21,24.94,0.027152829409335003,2715.2829409335004,True,10.0,modest_beat,medium,1553820000.0000002,168442192.45141426,8,0.922464839353232,19,7,12,0.76,11.5,-8.72039372500768,1838000000.0,True,False,26,none,?,?,long,False,"Bull prevailed: Agent 2's strong operational signal (19 active rigs) and $1.71B revenue forecast provide material upward earnings support, and Agent 3 shows a modest_beat (+10%) with medium confidence. Agent 4 discloses no GDELT red flags. ",16.0,8.0,20.0,8.0,8.0,60.0,medium
v2.5_only,2021,MTDR,2021-06-30,long,0.1,35.54,30.9,-0.13355711873944853,-13355.711873944852,False,10.0,modest_beat,medium,333000000.0,30146729.612143546,13,1.1045974282592255,12,6,6,0.48,9.5,4.621309370988436,357427000.0,True,False,9,none,?,?,long,False,"Bull view prevails: Agent 2's operational evidence (12 active sites, strong revenue forecast) together with Agent 3's modest_beat (+10%) outweighs the Bear's caution about sustainability and muted newsflow. Agent 4 discloses no adverse GDEL",12.0,12.0,20.0,12.0,12.0,68.0,medium
v2.5_only,2021,FANG,2021-09-30,long,0.1,109.26,111.81,0.02033882482152661,2033.882482152661,True,10.0,modest_beat,medium,1423626000.0,130819445.66647655,20,1.0882372974041845,14,6,8,0.56,11.666666666666666,13.237550564932366,1910000000.0,True,False,51,none,?,?,long,False,"Bull prevailed. Agent 2's concrete operational evidence (14 active rigs, favorable realized price differential and a $1.57B revenue outlook) combined with Agent 3's modest_beat (10%) at medium confidence provide a plausible upside that outw",12.0,12.0,20.0,12.0,16.0,72.0,high
